orderid,farmer_id,food,Cost,transport,A,B,C,date_harvest,date_deliver,image_path,pre_img_val,rank_in_q
6139,1532,31,1621000,0,4500,9400,9500,2018-07-28 21:00:00,2018-08-02 04:00:00,NULL,NULL,NULL
6140,1532,128,37000,1,1625,1175,1950,2018-08-07 10:00:00,2018-08-11 20:00:00,NULL,NULL,NULL
6141,1532,65,40000,0,2075,1775,125,2018-07-12 21:00:00,2018-07-17 04:00:00,NULL,NULL,NULL
6142,1532,83,344000,0,4500,300,3100,2018-08-01 13:00:00,2018-08-06 05:00:00,NULL,NULL,NULL
6143,1533,172,309000,1,3000,6800,6000,2018-07-24 07:00:00,2018-07-29 21:00:00,NULL,NULL,NULL
6144,1533,105,315000,0,4900,8600,6100,2018-07-24 01:00:00,2018-07-30 15:00:00,NULL,NULL,NULL
6145,1533,120,131000,0,5000,200,3300,2018-07-10 18:00:00,2018-07-15 18:00:00,NULL,NULL,NULL
6146,1533,179,336000,0,8300,3300,1300,2018-07-12 02:00:00,2018-07-17 04:00:00,NULL,NULL,NULL
6147,1534,155,40000,1,700,200,4800,2018-07-27 22:00:00,2018-08-02 18:00:00,NULL,NULL,NULL
6148,1534,91,3000,1,200,130,860,2018-07-07 04:00:00,2018-07-13 23:00:00,NULL,NULL,NULL
6149,1534,6,1538000,0,8800,9800,6900,2018-07-27 11:00:00,2018-08-02 15:00:00,NULL,NULL,NULL
6150,1535,85,123000,1,2700,2100,6900,2018-08-09 17:00:00,2018-08-15 09:00:00,NULL,NULL,NULL
6151,1535,17,510000,0,1300,400,5100,2018-07-26 09:00:00,2018-08-01 23:00:00,NULL,NULL,NULL
6152,1535,153,1816000,0,8400,4300,3300,2018-07-27 09:00:00,2018-07-31 14:00:00,NULL,NULL,NULL
6153,1535,50,322000,0,6300,8000,3100,2018-08-06 22:00:00,2018-08-11 10:00:00,NULL,NULL,NULL
6154,1536,83,869000,0,7200,9200,2800,2018-08-01 17:00:00,2018-08-07 06:00:00,NULL,NULL,NULL
6155,1536,177,391000,1,4600,2700,4100,2018-07-30 04:00:00,2018-08-04 13:00:00,NULL,NULL,NULL
6156,1536,156,161000,1,7400,2300,700,2018-07-22 00:00:00,2018-07-28 17:00:00,NULL,NULL,NULL
6157,1537,103,208000,0,6500,2500,8900,2018-08-11 13:00:00,2018-08-16 03:00:00,NULL,NULL,NULL
6158,1537,89,171000,1,8000,6900,3200,2018-08-16 21:00:00,2018-08-22 10:00:00,NULL,NULL,NULL
6159,1537,143,287000,0,900,9300,1300,2018-07-24 17:00:00,2018-07-31 02:00:00,NULL,NULL,NULL
6160,1537,36,133000,1,1000,1700,5600,2018-07-30 22:00:00,2018-08-06 04:00:00,NULL,NULL,NULL
6161,1538,158,154000,1,5500,5500,1900,2018-07-21 05:00:00,2018-07-27 12:00:00,NULL,NULL,NULL
6162,1538,150,241000,1,1100,7200,9500,2018-07-28 23:00:00,2018-08-03 10:00:00,NULL,NULL,NULL
6163,1538,119,390000,0,1900,10000,3700,2018-08-15 08:00:00,2018-08-22 02:00:00,NULL,NULL,NULL
6164,1539,126,214000,0,7700,3200,5900,2018-08-01 19:00:00,2018-08-06 09:00:00,NULL,NULL,NULL
6165,1539,8,683000,1,5000,6500,8600,2018-08-01 12:00:00,2018-08-08 00:00:00,NULL,NULL,NULL
6166,1539,40,349000,0,600,7800,4800,2018-07-14 12:00:00,2018-07-19 07:00:00,NULL,NULL,NULL
6167,1539,65,45000,1,1550,1950,2225,2018-07-10 20:00:00,2018-07-16 19:00:00,NULL,NULL,NULL
6168,1540,125,261000,1,5800,8000,7200,2018-07-28 05:00:00,2018-08-01 17:00:00,NULL,NULL,NULL
6169,1540,107,304000,0,5600,8100,2700,2018-07-06 15:00:00,2018-07-12 20:00:00,NULL,NULL,NULL
6170,1540,52,775000,0,4000,200,8400,2018-07-06 00:00:00,2018-07-11 10:00:00,NULL,NULL,NULL
6171,1541,178,325000,0,3900,8500,8400,2018-07-13 00:00:00,2018-07-17 17:00:00,NULL,NULL,NULL
6172,1541,7,671000,0,3400,8500,3800,2018-07-15 02:00:00,2018-07-21 19:00:00,NULL,NULL,NULL
6173,1541,95,101000,0,860,900,490,2018-07-15 23:00:00,2018-07-22 15:00:00,NULL,NULL,NULL
6174,1541,63,59000,0,300,2300,3400,2018-08-07 03:00:00,2018-08-12 12:00:00,NULL,NULL,NULL
6175,1542,84,291000,1,6100,9700,7100,2018-08-15 16:00:00,2018-08-21 13:00:00,NULL,NULL,NULL
6176,1542,117,289000,1,7600,4900,3300,2018-07-17 12:00:00,2018-07-23 20:00:00,NULL,NULL,NULL
6177,1542,73,370000,1,9900,6300,2500,2018-07-22 18:00:00,2018-07-28 10:00:00,NULL,NULL,NULL
6178,1543,123,102000,1,900,4200,700,2018-08-04 02:00:00,2018-08-09 11:00:00,NULL,NULL,NULL
6179,1543,156,74000,1,300,4500,1500,2018-08-13 08:00:00,2018-08-19 21:00:00,NULL,NULL,NULL
6180,1543,71,294000,1,5100,9400,600,2018-07-19 17:00:00,2018-07-23 20:00:00,NULL,NULL,NULL
6181,1544,163,49000,1,1625,2350,50,2018-08-14 06:00:00,2018-08-19 22:00:00,NULL,NULL,NULL
6182,1544,128,39000,1,1475,2400,200,2018-08-15 03:00:00,2018-08-21 08:00:00,NULL,NULL,NULL
6183,1544,30,548000,0,1200,5000,6800,2018-07-16 11:00:00,2018-07-20 17:00:00,NULL,NULL,NULL
6184,1545,171,883000,0,4300,600,4200,2018-07-14 14:00:00,2018-07-20 20:00:00,NULL,NULL,NULL
6185,1545,76,234000,1,500,9000,6700,2018-08-04 16:00:00,2018-08-10 15:00:00,NULL,NULL,NULL
6186,1545,177,667000,0,3700,9300,8900,2018-08-07 06:00:00,2018-08-13 20:00:00,NULL,NULL,NULL
6187,1546,105,142000,1,400,3500,8000,2018-07-17 19:00:00,2018-07-22 00:00:00,NULL,NULL,NULL
6188,1546,72,155000,0,400,4600,5100,2018-07-15 16:00:00,2018-07-22 14:00:00,NULL,NULL,NULL
6189,1546,51,636000,0,9400,1600,1200,2018-07-14 11:00:00,2018-07-19 03:00:00,NULL,NULL,NULL
6190,1546,148,552000,1,8600,100,7200,2018-07-27 01:00:00,2018-08-02 01:00:00,NULL,NULL,NULL
6191,1547,129,864000,1,3200,7000,2400,2018-07-18 14:00:00,2018-07-24 03:00:00,NULL,NULL,NULL
6192,1547,164,557000,0,5300,500,9700,2018-08-01 09:00:00,2018-08-06 13:00:00,NULL,NULL,NULL
6193,1547,111,326000,1,2200,1950,2500,2018-07-24 01:00:00,2018-07-28 23:00:00,NULL,NULL,NULL
6194,1548,5,878000,1,5900,1400,9700,2018-07-22 15:00:00,2018-07-28 15:00:00,NULL,NULL,NULL
6195,1548,55,153000,1,2325,1625,1850,2018-07-22 09:00:00,2018-07-27 12:00:00,NULL,NULL,NULL
6196,1548,11,600000,1,1375,2350,175,2018-07-11 13:00:00,2018-07-15 21:00:00,NULL,NULL,NULL
6197,1548,106,121000,0,2200,6600,8700,2018-08-15 02:00:00,2018-08-20 14:00:00,NULL,NULL,NULL
6198,1549,52,1832000,0,9100,9500,2500,2018-08-09 03:00:00,2018-08-14 15:00:00,NULL,NULL,NULL
6199,1549,178,267000,1,8200,1800,5100,2018-08-15 12:00:00,2018-08-20 22:00:00,NULL,NULL,NULL
6200,1549,26,2436000,0,9500,6700,500,2018-08-12 06:00:00,2018-08-17 11:00:00,NULL,NULL,NULL
6201,1550,109,239000,1,6000,3100,5400,2018-08-06 04:00:00,2018-08-11 12:00:00,NULL,NULL,NULL
6202,1550,138,219000,1,2500,500,8300,2018-08-11 06:00:00,2018-08-16 16:00:00,NULL,NULL,NULL
6203,1550,5,635000,0,3700,1000,8500,2018-07-29 16:00:00,2018-08-04 12:00:00,NULL,NULL,NULL
6204,1550,170,51000,1,2050,2100,2200,2018-07-22 09:00:00,2018-07-27 09:00:00,NULL,NULL,NULL
6205,1551,96,88000,1,640,60,160,2018-07-05 10:00:00,2018-07-10 06:00:00,NULL,NULL,NULL
6206,1551,115,390000,0,8200,9900,3100,2018-07-06 04:00:00,2018-07-12 23:00:00,NULL,NULL,NULL
6207,1551,162,90000,0,3400,1000,2700,2018-08-06 07:00:00,2018-08-12 05:00:00,NULL,NULL,NULL
6208,1551,120,183000,0,3800,4000,5100,2018-08-10 05:00:00,2018-08-15 10:00:00,NULL,NULL,NULL
6209,1551,9,1037000,0,6300,9500,7000,2018-07-19 00:00:00,2018-07-24 23:00:00,NULL,NULL,NULL
6210,1552,144,250000,1,5200,4700,100,2018-07-12 13:00:00,2018-07-17 05:00:00,NULL,NULL,NULL
6211,1552,71,162000,1,5300,1500,1700,2018-08-13 05:00:00,2018-08-17 17:00:00,NULL,NULL,NULL
6212,1552,135,102000,1,2250,1675,2000,2018-07-18 21:00:00,2018-07-24 10:00:00,NULL,NULL,NULL
6213,1552,15,354000,0,7900,4000,9900,2018-07-31 03:00:00,2018-08-06 07:00:00,NULL,NULL,NULL
6214,1553,90,179000,1,9200,4000,7500,2018-07-09 19:00:00,2018-07-15 23:00:00,NULL,NULL,NULL
6215,1553,13,558000,1,8500,9900,300,2018-08-09 03:00:00,2018-08-15 15:00:00,NULL,NULL,NULL
6216,1553,18,372000,1,9400,7300,7600,2018-07-08 17:00:00,2018-07-13 22:00:00,NULL,NULL,NULL
6217,1554,160,91000,0,800,2100,9800,2018-07-20 04:00:00,2018-07-25 06:00:00,NULL,NULL,NULL
6218,1554,32,412000,1,4000,5500,9400,2018-07-29 10:00:00,2018-08-04 16:00:00,NULL,NULL,NULL
6219,1554,77,370000,1,6000,8700,7300,2018-07-20 00:00:00,2018-07-25 11:00:00,NULL,NULL,NULL
6220,1555,67,73000,1,2000,2000,300,2018-07-19 09:00:00,2018-07-25 03:00:00,NULL,NULL,NULL
6221,1555,130,270000,1,6600,6700,100,2018-07-11 06:00:00,2018-07-16 13:00:00,NULL,NULL,NULL
6222,1555,96,146000,1,900,450,100,2018-08-11 13:00:00,2018-08-18 03:00:00,NULL,NULL,NULL
6223,1555,2,1448000,0,8000,7000,6000,2018-08-11 18:00:00,2018-08-17 14:00:00,NULL,NULL,NULL
6224,1556,120,236000,0,8900,900,5300,2018-07-29 21:00:00,2018-08-04 04:00:00,NULL,NULL,NULL
6225,1556,153,1003000,0,2800,4800,2200,2018-07-21 15:00:00,2018-07-26 12:00:00,NULL,NULL,NULL
6226,1556,21,66000,1,2025,300,125,2018-07-18 17:00:00,2018-07-24 13:00:00,NULL,NULL,NULL
6227,1557,167,268000,0,3100,7200,7800,2018-07-28 15:00:00,2018-08-03 12:00:00,NULL,NULL,NULL
6228,1557,102,99000,0,2600,600,3200,2018-08-11 09:00:00,2018-08-17 04:00:00,NULL,NULL,NULL
6229,1557,127,154000,0,2000,3900,3800,2018-07-21 02:00:00,2018-07-28 02:00:00,NULL,NULL,NULL
6230,1558,130,363000,1,9900,3000,7500,2018-07-10 19:00:00,2018-07-17 10:00:00,NULL,NULL,NULL
6231,1558,25,919000,0,9200,1500,2000,2018-07-12 03:00:00,2018-07-16 06:00:00,NULL,NULL,NULL
6232,1558,74,323000,0,9300,4300,3900,2018-07-21 22:00:00,2018-07-28 16:00:00,NULL,NULL,NULL
6233,1558,32,386000,1,1000,10000,6800,2018-07-28 07:00:00,2018-08-03 05:00:00,NULL,NULL,NULL
6234,1559,44,217000,1,2300,2500,4900,2018-08-04 16:00:00,2018-08-08 19:00:00,NULL,NULL,NULL
6235,1559,27,575000,1,7600,2800,6900,2018-08-10 06:00:00,2018-08-14 13:00:00,NULL,NULL,NULL
6236,1559,125,172000,1,1200,8900,5200,2018-07-25 11:00:00,2018-07-31 10:00:00,NULL,NULL,NULL
6237,1560,25,483000,1,300,2700,8900,2018-07-26 10:00:00,2018-07-31 14:00:00,NULL,NULL,NULL
6238,1560,44,335000,0,7400,2600,900,2018-08-09 17:00:00,2018-08-13 23:00:00,NULL,NULL,NULL
6239,1560,37,187000,0,3400,200,2800,2018-07-18 10:00:00,2018-07-24 11:00:00,NULL,NULL,NULL
6240,1560,23,837000,0,5200,4700,2400,2018-07-24 09:00:00,2018-07-29 14:00:00,NULL,NULL,NULL
6241,1561,83,604000,0,2800,4800,9300,2018-07-10 23:00:00,2018-07-16 03:00:00,NULL,NULL,NULL
6242,1561,153,1500000,0,2000,9800,3400,2018-08-17 20:00:00,2018-08-24 03:00:00,NULL,NULL,NULL
6243,1561,135,73000,0,2325,450,1200,2018-07-13 20:00:00,2018-07-20 18:00:00,NULL,NULL,NULL
6244,1562,151,538000,1,5900,3700,1200,2018-07-22 22:00:00,2018-07-27 21:00:00,NULL,NULL,NULL
6245,1562,83,788000,0,6100,5100,9200,2018-08-16 08:00:00,2018-08-21 21:00:00,NULL,NULL,NULL
6246,1562,169,260000,1,7600,3700,1900,2018-07-27 12:00:00,2018-08-03 07:00:00,NULL,NULL,NULL
6247,1562,175,175000,1,4800,600,2000,2018-07-05 15:00:00,2018-07-12 03:00:00,NULL,NULL,NULL
6248,1563,94,79000,0,690,420,870,2018-07-26 11:00:00,2018-07-30 20:00:00,NULL,NULL,NULL
6249,1563,138,366000,0,4300,3000,9700,2018-08-11 15:00:00,2018-08-18 07:00:00,NULL,NULL,NULL
6250,1563,175,343000,0,4800,5500,7300,2018-07-31 15:00:00,2018-08-07 13:00:00,NULL,NULL,NULL
6251,1564,74,102000,1,400,700,8700,2018-07-25 07:00:00,2018-07-31 21:00:00,NULL,NULL,NULL
6252,1564,68,412000,1,8700,5100,4300,2018-07-14 10:00:00,2018-07-20 15:00:00,NULL,NULL,NULL
6253,1564,107,218000,0,5800,4300,300,2018-07-07 00:00:00,2018-07-13 14:00:00,NULL,NULL,NULL
6254,1564,148,313000,0,3200,2400,4000,2018-07-16 17:00:00,2018-07-22 17:00:00,NULL,NULL,NULL
6255,1565,163,45000,1,1350,1375,1950,2018-07-07 05:00:00,2018-07-12 22:00:00,NULL,NULL,NULL
6256,1565,168,94000,1,1900,2700,6200,2018-08-09 21:00:00,2018-08-14 07:00:00,NULL,NULL,NULL
6257,1565,100,68000,0,2050,50,2100,2018-08-05 07:00:00,2018-08-11 15:00:00,NULL,NULL,NULL
6258,1566,47,677000,0,9100,7100,6300,2018-07-05 19:00:00,2018-07-12 04:00:00,NULL,NULL,NULL
6259,1566,61,1146000,1,4200,6800,7300,2018-07-04 15:00:00,2018-07-08 22:00:00,NULL,NULL,NULL
6260,1566,152,162000,1,2250,50,150,2018-08-02 01:00:00,2018-08-07 09:00:00,NULL,NULL,NULL
6261,1566,94,78000,1,850,210,800,2018-08-17 05:00:00,2018-08-23 12:00:00,NULL,NULL,NULL
6262,1566,28,519000,1,5200,400,4700,2018-08-05 20:00:00,2018-08-11 20:00:00,NULL,NULL,NULL
6263,1566,43,841000,0,7900,9700,8000,2018-07-05 09:00:00,2018-07-11 01:00:00,NULL,NULL,NULL
6264,1567,130,305000,1,4600,5800,9800,2018-08-07 07:00:00,2018-08-12 00:00:00,NULL,NULL,NULL
6265,1567,47,453000,0,6300,1500,8800,2018-08-04 11:00:00,2018-08-10 23:00:00,NULL,NULL,NULL
6266,1567,141,255000,0,900,700,1850,2018-08-05 20:00:00,2018-08-12 07:00:00,NULL,NULL,NULL
6267,1568,115,232000,0,7100,500,6500,2018-08-09 06:00:00,2018-08-13 16:00:00,NULL,NULL,NULL
6268,1568,114,303000,0,5800,3800,3900,2018-07-07 04:00:00,2018-07-12 22:00:00,NULL,NULL,NULL
6269,1568,78,743000,0,2300,9900,7800,2018-07-11 23:00:00,2018-07-17 15:00:00,NULL,NULL,NULL
6270,1569,111,217000,1,1650,1375,1050,2018-08-10 08:00:00,2018-08-15 08:00:00,NULL,NULL,NULL
6271,1569,74,136000,1,2700,3600,1100,2018-07-08 09:00:00,2018-07-13 19:00:00,NULL,NULL,NULL
6272,1569,138,253000,1,2500,3200,6100,2018-07-08 19:00:00,2018-07-13 19:00:00,NULL,NULL,NULL
6273,1569,154,255000,1,8500,5300,6000,2018-07-25 02:00:00,2018-07-31 01:00:00,NULL,NULL,NULL
6274,1569,33,783000,0,7000,5700,5600,2018-07-23 13:00:00,2018-07-28 23:00:00,NULL,NULL,NULL
6275,1570,39,322000,0,7200,8900,200,2018-07-06 23:00:00,2018-07-12 22:00:00,NULL,NULL,NULL
6276,1570,175,226000,0,3500,1500,7600,2018-08-02 17:00:00,2018-08-07 16:00:00,NULL,NULL,NULL
6277,1570,30,423000,0,2600,2400,3900,2018-08-07 08:00:00,2018-08-12 10:00:00,NULL,NULL,NULL
6278,1571,44,315000,0,4400,3900,4100,2018-07-10 02:00:00,2018-07-14 10:00:00,NULL,NULL,NULL
6279,1571,89,98000,1,1500,5400,7000,2018-07-04 23:00:00,2018-07-09 23:00:00,NULL,NULL,NULL
6280,1571,94,71000,1,130,970,890,2018-07-19 15:00:00,2018-07-25 22:00:00,NULL,NULL,NULL
6281,1572,71,218000,1,3100,7700,800,2018-07-07 21:00:00,2018-07-13 20:00:00,NULL,NULL,NULL
6282,1572,168,289000,1,9800,8500,9600,2018-07-24 03:00:00,2018-07-29 21:00:00,NULL,NULL,NULL
6283,1572,166,195000,1,2000,3300,5500,2018-07-29 07:00:00,2018-08-04 07:00:00,NULL,NULL,NULL
6284,1572,98,197000,1,2350,2025,975,2018-07-24 13:00:00,2018-07-29 19:00:00,NULL,NULL,NULL
6285,1573,120,123000,1,1900,3600,3500,2018-08-15 02:00:00,2018-08-20 04:00:00,NULL,NULL,NULL
6286,1573,89,206000,1,8300,8600,8400,2018-08-17 21:00:00,2018-08-23 14:00:00,NULL,NULL,NULL
6287,1573,9,579000,1,700,7100,7400,2018-07-17 20:00:00,2018-07-23 20:00:00,NULL,NULL,NULL
6288,1573,36,180000,1,200,7000,1900,2018-08-08 06:00:00,2018-08-12 22:00:00,NULL,NULL,NULL
6289,1574,122,292000,1,5100,9500,1400,2018-08-12 14:00:00,2018-08-17 10:00:00,NULL,NULL,NULL
6290,1574,63,128000,1,4200,100,7200,2018-07-20 17:00:00,2018-07-26 12:00:00,NULL,NULL,NULL
6291,1574,175,233000,1,1000,6700,4600,2018-08-14 20:00:00,2018-08-21 03:00:00,NULL,NULL,NULL
6292,1574,119,276000,1,400,8000,4200,2018-07-17 01:00:00,2018-07-23 04:00:00,NULL,NULL,NULL
6293,1575,5,1121000,0,6200,7300,5900,2018-08-09 17:00:00,2018-08-16 05:00:00,NULL,NULL,NULL
6294,1575,118,257000,0,2300,6600,8900,2018-07-24 04:00:00,2018-07-31 01:00:00,NULL,NULL,NULL
6295,1575,112,436000,1,2150,425,1700,2018-08-08 15:00:00,2018-08-14 06:00:00,NULL,NULL,NULL
6296,1575,30,687000,1,4000,3200,9000,2018-08-01 16:00:00,2018-08-06 18:00:00,NULL,NULL,NULL
6297,1575,170,9000,1,225,400,700,2018-07-09 00:00:00,2018-07-13 10:00:00,NULL,NULL,NULL
6298,1576,70,396000,1,1300,7200,8100,2018-08-04 22:00:00,2018-08-11 04:00:00,NULL,NULL,NULL
6299,1576,57,80000,0,1600,850,75,2018-08-04 07:00:00,2018-08-09 23:00:00,NULL,NULL,NULL
6300,1576,95,62000,0,180,1000,410,2018-08-06 01:00:00,2018-08-10 22:00:00,NULL,NULL,NULL
6301,1577,133,612000,1,8300,8200,7000,2018-07-13 22:00:00,2018-07-19 20:00:00,NULL,NULL,NULL
6302,1577,14,196000,0,4000,5000,8300,2018-07-29 13:00:00,2018-08-02 18:00:00,NULL,NULL,NULL
6303,1577,48,543000,1,5900,2000,4700,2018-07-21 19:00:00,2018-07-26 07:00:00,NULL,NULL,NULL
6304,1577,125,165000,1,5400,4700,1500,2018-08-10 06:00:00,2018-08-15 07:00:00,NULL,NULL,NULL
6305,1578,75,311000,1,4900,4800,4800,2018-07-25 07:00:00,2018-07-29 08:00:00,NULL,NULL,NULL
6306,1578,141,76000,1,450,175,175,2018-08-11 13:00:00,2018-08-16 16:00:00,NULL,NULL,NULL
6307,1578,71,239000,1,1200,9200,5800,2018-07-26 05:00:00,2018-08-02 04:00:00,NULL,NULL,NULL
6308,1578,18,162000,0,4600,4400,600,2018-07-05 09:00:00,2018-07-11 13:00:00,NULL,NULL,NULL
6309,1579,111,210000,0,1300,2025,600,2018-08-03 07:00:00,2018-08-09 18:00:00,NULL,NULL,NULL
6310,1579,86,128000,1,3000,600,9900,2018-07-14 04:00:00,2018-07-19 10:00:00,NULL,NULL,NULL
6311,1579,143,415000,0,2100,9500,6400,2018-07-14 00:00:00,2018-07-18 22:00:00,NULL,NULL,NULL
6312,1579,25,802000,1,4100,5400,3900,2018-08-07 14:00:00,2018-08-13 06:00:00,NULL,NULL,NULL
6313,1579,96,66000,1,40,510,360,2018-07-20 19:00:00,2018-07-26 15:00:00,NULL,NULL,NULL
6314,1580,91,8000,0,690,920,350,2018-07-10 08:00:00,2018-07-15 00:00:00,NULL,NULL,NULL
6315,1580,53,792000,0,1000,7300,7500,2018-07-12 22:00:00,2018-07-18 07:00:00,NULL,NULL,NULL
6316,1580,176,77000,0,1050,2375,1375,2018-08-08 17:00:00,2018-08-13 17:00:00,NULL,NULL,NULL
6317,1580,16,65000,0,1675,2475,250,2018-08-07 01:00:00,2018-08-13 09:00:00,NULL,NULL,NULL
6318,1580,65,26000,0,1550,250,1200,2018-07-23 23:00:00,2018-07-29 15:00:00,NULL,NULL,NULL
6319,1581,31,747000,1,1200,5900,3300,2018-08-15 09:00:00,2018-08-20 02:00:00,NULL,NULL,NULL
6320,1581,158,94000,0,5700,400,900,2018-08-16 01:00:00,2018-08-20 12:00:00,NULL,NULL,NULL
6321,1581,171,856000,0,5600,200,500,2018-07-28 16:00:00,2018-08-04 02:00:00,NULL,NULL,NULL
6322,1582,157,216000,0,9100,4100,1000,2018-07-16 22:00:00,2018-07-23 18:00:00,NULL,NULL,NULL
6323,1582,123,299000,0,10000,1100,4900,2018-07-30 12:00:00,2018-08-06 03:00:00,NULL,NULL,NULL
6324,1582,88,78000,1,100,1400,8500,2018-07-19 11:00:00,2018-07-25 07:00:00,NULL,NULL,NULL
6325,1582,144,397000,0,8000,4600,5100,2018-07-15 00:00:00,2018-07-19 20:00:00,NULL,NULL,NULL
6326,1582,91,9000,0,770,670,750,2018-08-15 20:00:00,2018-08-20 05:00:00,NULL,NULL,NULL
6327,1583,84,246000,1,9400,4500,3800,2018-08-01 16:00:00,2018-08-06 07:00:00,NULL,NULL,NULL
6328,1583,161,213000,0,7900,5100,500,2018-07-10 21:00:00,2018-07-16 01:00:00,NULL,NULL,NULL
6329,1583,105,258000,0,1700,7600,9300,2018-07-13 12:00:00,2018-07-18 15:00:00,NULL,NULL,NULL
6330,1583,89,99000,0,3800,1100,9500,2018-07-24 13:00:00,2018-07-31 05:00:00,NULL,NULL,NULL
6331,1584,180,186000,0,5200,1800,4000,2018-07-08 16:00:00,2018-07-14 06:00:00,NULL,NULL,NULL
6332,1584,151,507000,1,4100,4000,3700,2018-07-28 07:00:00,2018-08-03 04:00:00,NULL,NULL,NULL
6333,1584,148,694000,1,9700,4800,3100,2018-08-11 07:00:00,2018-08-16 19:00:00,NULL,NULL,NULL
6334,1584,112,426000,1,750,2050,1850,2018-07-05 05:00:00,2018-07-10 09:00:00,NULL,NULL,NULL
6335,1584,149,341000,1,8300,3300,2100,2018-07-19 22:00:00,2018-07-24 15:00:00,NULL,NULL,NULL
6336,1585,18,199000,0,4800,4800,3500,2018-07-10 16:00:00,2018-07-15 17:00:00,NULL,NULL,NULL
6337,1585,127,361000,1,9400,7300,1200,2018-08-09 05:00:00,2018-08-15 17:00:00,NULL,NULL,NULL
6338,1585,160,125000,0,2900,6600,1500,2018-07-29 12:00:00,2018-08-04 05:00:00,NULL,NULL,NULL
6339,1585,31,1856000,0,7400,8800,10000,2018-07-10 22:00:00,2018-07-14 23:00:00,NULL,NULL,NULL
6340,1585,140,43000,0,700,500,2000,2018-08-15 02:00:00,2018-08-21 12:00:00,NULL,NULL,NULL
6341,1586,107,158000,1,900,2700,9300,2018-07-13 23:00:00,2018-07-19 00:00:00,NULL,NULL,NULL
6342,1586,103,258000,1,9800,3700,5000,2018-07-11 06:00:00,2018-07-17 08:00:00,NULL,NULL,NULL
6343,1586,64,419000,1,6100,7200,900,2018-08-08 19:00:00,2018-08-13 10:00:00,NULL,NULL,NULL
6344,1586,39,333000,0,5800,8600,4200,2018-07-29 10:00:00,2018-08-02 12:00:00,NULL,NULL,NULL
6345,1586,79,63000,0,300,4700,4000,2018-07-28 18:00:00,2018-08-03 23:00:00,NULL,NULL,NULL
6346,1587,155,86000,0,1600,5700,100,2018-07-06 07:00:00,2018-07-10 16:00:00,NULL,NULL,NULL
6347,1587,47,297000,1,3500,1500,6600,2018-08-15 21:00:00,2018-08-21 05:00:00,NULL,NULL,NULL
6348,1587,32,622000,1,9200,10000,3200,2018-07-08 19:00:00,2018-07-13 04:00:00,NULL,NULL,NULL
6349,1588,140,26000,0,575,250,900,2018-08-07 21:00:00,2018-08-12 00:00:00,NULL,NULL,NULL
6350,1588,103,186000,1,600,9000,7700,2018-07-04 09:00:00,2018-07-09 16:00:00,NULL,NULL,NULL
6351,1588,75,229000,0,3300,2100,7900,2018-07-12 13:00:00,2018-07-18 07:00:00,NULL,NULL,NULL
6352,1588,4,1680000,1,10000,3100,6600,2018-08-18 00:00:00,2018-08-23 21:00:00,NULL,NULL,NULL
6353,1589,25,907000,0,7000,800,8900,2018-07-19 23:00:00,2018-07-24 22:00:00,NULL,NULL,NULL
6354,1589,171,2489000,0,8800,7700,7600,2018-07-21 07:00:00,2018-07-28 04:00:00,NULL,NULL,NULL
6355,1589,42,399000,0,4900,2900,6700,2018-07-27 21:00:00,2018-08-03 02:00:00,NULL,NULL,NULL
6356,1590,126,219000,0,4800,6500,6900,2018-08-07 11:00:00,2018-08-12 08:00:00,NULL,NULL,NULL
6357,1590,85,126000,1,1100,6300,3600,2018-08-16 02:00:00,2018-08-21 18:00:00,NULL,NULL,NULL
6358,1590,160,202000,0,8800,2100,8600,2018-07-27 10:00:00,2018-08-01 01:00:00,NULL,NULL,NULL
6359,1590,112,617000,0,2400,1550,1875,2018-08-15 14:00:00,2018-08-20 04:00:00,NULL,NULL,NULL
6360,1590,25,785000,1,1200,8400,4800,2018-07-21 00:00:00,2018-07-27 10:00:00,NULL,NULL,NULL
6361,1590,65,31000,1,450,2250,1350,2018-08-06 08:00:00,2018-08-11 04:00:00,NULL,NULL,NULL
6362,1591,74,174000,0,600,5000,7400,2018-07-20 20:00:00,2018-07-27 01:00:00,NULL,NULL,NULL
6363,1591,82,765000,0,9300,1800,6900,2018-07-29 01:00:00,2018-08-02 11:00:00,NULL,NULL,NULL
6364,1591,105,389000,1,6700,9300,6500,2018-07-22 08:00:00,2018-07-28 16:00:00,NULL,NULL,NULL
6365,1592,60,31000,1,850,1325,2175,2018-07-23 06:00:00,2018-07-29 19:00:00,NULL,NULL,NULL
6366,1592,121,355000,0,7800,1300,9000,2018-07-05 00:00:00,2018-07-09 10:00:00,NULL,NULL,NULL
6367,1592,41,305000,1,4700,6500,9100,2018-07-13 20:00:00,2018-07-18 10:00:00,NULL,NULL,NULL
6368,1593,125,214000,1,5500,5700,5800,2018-07-06 11:00:00,2018-07-12 16:00:00,NULL,NULL,NULL
6369,1593,39,209000,0,800,6300,8200,2018-08-10 22:00:00,2018-08-17 17:00:00,NULL,NULL,NULL
6370,1593,112,651000,0,2500,2025,1400,2018-07-18 12:00:00,2018-07-22 21:00:00,NULL,NULL,NULL
6371,1593,98,124000,0,1075,2100,50,2018-07-19 19:00:00,2018-07-24 08:00:00,NULL,NULL,NULL
6372,1593,151,709000,0,2300,8900,7500,2018-07-27 16:00:00,2018-08-01 19:00:00,NULL,NULL,NULL
